exerciseId,field,before,after
"90-90-hip-switch","movementPattern","Other","Mobility"
"90-90-hip-switch","primaryMuscles","full_body","mobility"
"ab-wheel-rollout","movementPattern","Other","Core"
"ab-wheel-rollout","primaryMuscles","full_body","rectus_abdominis"
"active-hang","movementPattern","Other","Mobility"
"active-hang","primaryMuscles","full_body","mobility"
"alternating-dumbbell-bench-press","family","Alternating  Bench Press","Alternating Bench Press"
"alternating-dumbbell-curl","family","Alternating  Curl","Alternating Curl"
"ankle-car","movementPattern","Other","Mobility"
"ankle-car","primaryMuscles","full_body","mobility"
"ankle-dorsiflexion-mobilization","movementPattern","Other","Mobility"
"ankle-dorsiflexion-mobilization","primaryMuscles","full_body","mobility"
"arc-trainer","movementPattern","Other","Cardio / Locomotion"
"arc-trainer","primaryMuscles","full_body","cardiovascular"
"arm-ergometer","movementPattern","Other","Cardio / Locomotion"
"arm-ergometer","primaryMuscles","full_body","cardiovascular"
"axle-clean-and-press","movementPattern","Other","Power / Plyometric"
"axle-clean-and-press","primaryMuscles","full_body","glutes,front_deltoids"
"axle-clean-and-press","secondaryMuscles","-","quadriceps,traps"
"back-extension","movementPattern","Other","Hinge / Hip Dominant"
"back-extension","primaryMuscles","full_body","erector_spinae"
"band-clamshell","primaryMuscles","full_body","abductors"
"band-front-raise","movementPattern","Other","Shoulder Isolation"
"band-glute-kickback","movementPattern","Other","Hip Isolation"
"band-hip-abduction","movementPattern","Other","Hip Isolation"
"band-hip-abduction","primaryMuscles","full_body","abductors"
"band-hip-adduction","movementPattern","Other","Hip Isolation"
"band-hip-adduction","primaryMuscles","full_body","adductors"
"band-lateral-raise","movementPattern","Other","Shoulder Isolation"
"band-lateral-walk","movementPattern","Cardio / Locomotion","Hip Isolation"
"band-lateral-walk","primaryMuscles","cardiovascular","abductors"
"band-leg-extension","movementPattern","Other","Squat / Knee Dominant"
"band-monster-walk","movementPattern","Cardio / Locomotion","Hip Isolation"
"band-monster-walk","primaryMuscles","cardiovascular","abductors"
"band-pull-apart","movementPattern","Other","Shoulder Isolation"
"band-pull-apart","primaryMuscles","full_body","rear_deltoids"
"band-shrug","movementPattern","Other","Shoulder Isolation"
"band-shrug","primaryMuscles","full_body","traps"
"barbell-behind-the-neck-press","movementPattern","Other","Vertical Push"
"barbell-behind-the-neck-press","primaryMuscles","full_body","front_deltoids"
"barbell-block-pull","movementPattern","Other","Hinge / Hip Dominant"
"barbell-block-pull","primaryMuscles","full_body","glutes"
"barbell-block-pull","secondaryMuscles","-","hamstrings,erector_spinae"
"barbell-board-press","movementPattern","Other","Horizontal Push"
"barbell-board-press","primaryMuscles","full_body","chest"
"barbell-bradford-press","movementPattern","Other","Vertical Push"
"barbell-bradford-press","primaryMuscles","full_body","front_deltoids"
"barbell-clean","movementPattern","Other","Power / Plyometric"
"barbell-clean","primaryMuscles","full_body","glutes,traps"
